message_id,action,message_type,reason,confidence,evidence_message_ids
msg_032,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0119
msg_106,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0234;message_0376
msg_006,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0029;message_0044
msg_109,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0151;message_0029
msg_108,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0094
msg_019,mute,scam,The message is from an unverified or spoofed business domain posing security risk.,0.9,message_0277
msg_088,digest,personal,The message is safe casual chat with no urgent action required.,0.82,message_0050
msg_056,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0039;message_0040
msg_027,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.78,message_0007;message_0033
msg_050,mute,scam,The message is from an unverified or spoofed business domain posing security risk.,0.9,message_0279
msg_083,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0219
msg_063,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0002;message_0037
msg_033,digest,greeting,The message is a harmless greeting that can be read later.,0.82,message_0121
msg_061,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0042
msg_020,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0049
msg_017,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0090;message_0089
msg_058,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0039;message_0040
msg_026,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0032
msg_047,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0001
msg_046,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0024
msg_042,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0054
msg_079,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0023;message_0045
msg_098,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0054
msg_037,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0001
msg_007,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0070;message_0069
msg_085,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0221
msg_001,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0057
msg_021,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0029;message_0044
msg_028,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.78,message_0034
msg_012,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0042
msg_064,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0024
msg_103,digest,promotion,The message matches the user's known interests but is still low priority.,0.84,message_0049
msg_031,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0036;message_0055
msg_057,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0003;message_0041
msg_087,mute,spam,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0048
msg_067,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0029;message_0044
msg_039,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0051;message_0037
msg_082,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.87,message_0218
msg_066,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0257
msg_049,mute,scam,This is the first message from the sender and it asks for sensitive verification or payment.,0.87,none
msg_015,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0023;message_0045
msg_051,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0257
msg_097,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.8,message_0054
msg_089,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0299;message_0396
msg_053,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0019;message_0024
msg_059,mute,scam,This is the first message from the sender and it asks for sensitive verification or payment.,0.87,none
msg_024,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0257
msg_072,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0023;message_0045
msg_036,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0283
msg_076,mute,scam,The message is from an unverified or spoofed business domain posing security risk.,0.9,message_0207
msg_055,notify,urgent,A close contact sent a short urgent request that should interrupt the user.,0.87,message_0166
msg_102,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.85,message_0230;message_0371
msg_080,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0001;message_0029
msg_093,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0347;message_0348
msg_034,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0013
msg_035,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0281
msg_101,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.8,message_0268;message_0229
msg_041,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.78,message_0054
msg_011,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0014;message_0013
msg_110,mute,scam,This is the first message from the sender and it asks for sensitive verification or payment.,0.87,none
msg_095,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.86,message_0024
msg_074,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0203;message_0204
msg_073,mute,scam,This is the first message from the sender and it asks for sensitive verification or payment.,0.87,none
msg_054,mute,scam,This is the first message from the sender and it asks for sensitive verification or payment.,0.87,none
msg_068,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0191
msg_100,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.85,message_0055
msg_062,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.87,message_0043
msg_096,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0353;message_0354
msg_043,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0029;message_0044
msg_077,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.87,message_0051
msg_081,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.87,message_0217;message_0004
msg_025,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0004
msg_084,mute,spam,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0048
msg_022,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0029;message_0044
